Hari_ke,Tanggal,Jumlah_Kasus_Kumulatif,Jumlah_Pasien_Sembuh,Jumlah_Pasien_Meninggal,Jumlah_Pasien_Dalam_Perawatan,Jumlah_Kasus_Baru_per_Hari,Jumlah_Kasus_Sembuh_per_Hari,Jumlah_Kasus_Meninggal_per_Hari,Jumlah_Kasus_Dirawat_per_Hari,Persentase_Pasien_Sembuh,Persentase_Pasien_Meninggal,Persentase_Pasien_dalam_Perawat,Jumlah_Spesimen_Diperiksa,Jumlah_Kasus_Diperiksa,Jumlah_Negatif,Spesimen_Diperiksa_Baru_Harian,Kasus_Diperiksa_Baru_Harian,PDP,ODP,Penambahan_Kasus_Terkonfirmasi_,Kasus_Sedang_Investigasi_Lapang,Jumlah_Spesimen_Diperiksa_Terki,Jumlah_Kasus_Diperiksa_Terkini,Spesimen_Diperiksa_Baru_Harian_,Jumlah_Kasus_Diperiksa_Harian_T,Hasil_Positif_Terkini,Hasil_Negatif_Terkini,PDP_Terkini,ODP_Terkini,Suspek_Terkini,Jumlah_Provinsi_Terdampak,Jumlah_KabKot_Terdampak,Pembaruan_Terakhir,FID
339,2021/02/03 00:00:00+00,1111671,905665,30770,175236,11984,9135,189,2660,81.46879787,2.767905253,15.76329687,9433569,6280182,5168511,74965,46893,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,286
340,2021/02/04 00:00:00+00,1123105,917306,31001,174798,11434,11641,231,-438,81.67588961,2.760294006,15.56381638,9502313,6322350,5199245,68744,42168,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,287
341,2021/02/05 00:00:00+00,1134854,926980,31202,176672,11749,9674,201,1874,81.6827539,2.749428561,15.56781753,9578686,6366581,5231727,76373,44231,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,288
342,2021/02/06 00:00:00+00,1147010,939184,31393,176433,12156,12204,191,-239,81.88106468,2.736942137,15.38199318,9643853,6414683,5267673,65167,48102,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,289
343,2021/02/07 00:00:00+00,1157837,949990,31556,176291,10827,10806,163,-142,82.04868215,2.725426809,15.22589104,9685379,6445583,5287746,41526,30900,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,290
344,2021/02/08 00:00:00+00,1166079,963028,31763,171288,8242,13038,207,-5003,82.58685732,2.723914932,14.68922775,9724040,6473598,5307519,38661,28015,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,291
345,2021/02/09 00:00:00+00,1174779,973452,31976,169351,8700,10424,213,-1937,82.86256394,2.721873646,14.41556242,9791928,6512126,5337347,67888,38528,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,292
346,2021/02/10 00:00:00+00,1183555,982972,32167,168416,8776,9520,191,-935,83.05249862,2.717828914,14.22967247,9862240,6553179,5369624,70312,41053,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,293
347,2021/02/11 00:00:00+00,1191990,993117,32381,166492,8435,10145,214,-1924,83.31588352,2.716549635,13.96756684,9933751,6591580,5399590,71511,38401,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,294
348,2021/02/12 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,295
